pseudo_bulk	cluster	annotation
C102_Carp_S01	1	epithelial
C10_Carp_S01	1	epithelial
C117_Carp_S01	1	epithelial
C12_Carp_S01	1	epithelial
C130_Carp_S01	1	epithelial
C132_Carp_S01	1	epithelial
C145_Carp_S01	3	lymphoid
C153_Carp_S01	0	myeloid
C158_Carp_S01	5	fibroblast
C15_Carp_S01	1	epithelial
C167_Carp_S01	1	epithelial
C175_Carp_S01	6	endothelial
C177_Carp_S01	1	epithelial
C183_Carp_S01	1	epithelial
C192_Carp_S01	1	epithelial
C199_Carp_S01	1	epithelial
C1_Carp_S01	1	epithelial
C201_Carp_S01	1	epithelial
C202_Carp_S01	1	epithelial
C207_Carp_S01	1	epithelial
C210_Carp_S01	1	epithelial
C226_Carp_S01	0	myeloid
C228_Carp_S01	1	epithelial
C229_Carp_S01	5	fibroblast
C238_Carp_S01	1	epithelial
C250_Carp_S01	1	epithelial
C266_Carp_S01	1	epithelial
C270_Carp_S01	0	myeloid
C276_Carp_S01	4	epithelial_malignant
C289_Carp_S01	3	lymphoid
C296_Carp_S01	1	epithelial
C297_Carp_S01	0	myeloid
C298_Carp_S01	1	epithelial
C2_Carp_S01	1	epithelial
C314_Carp_S01	1	epithelial
C323_Carp_S01	0	myeloid
C338_Carp_S01	1	epithelial
C341_Carp_S01	1	epithelial
C374_Carp_S01	1	epithelial
C378_Carp_S01	0	myeloid
C379_Carp_S01	0	myeloid
C380_Carp_S01	1	epithelial
C387_Carp_S01	0	myeloid
C393_Carp_S01	1	epithelial
C401_Carp_S01	0	myeloid
C403_Carp_S01	1	epithelial
C40_Carp_S01	0	myeloid
C410_Carp_S01	2	myeloid
C421_Carp_S01	1	epithelial
C42_Carp_S01	1	epithelial
C437_Carp_S01	1	epithelial
C43_Carp_S01	1	epithelial
C441_Carp_S01	1	epithelial
C459_Carp_S01	1	epithelial
C464_Carp_S01	0	myeloid
C46_Carp_S01	1	epithelial
C473_Carp_S01	0	myeloid
C477_Carp_S01	1	epithelial
C487_Carp_S01	0	myeloid
C510_Carp_S01	0	myeloid
C511_Carp_S01	3	lymphoid
C515_Carp_S01	0	myeloid
C524_Carp_S01	1	epithelial
C530_Carp_S01	0	myeloid
C535_Carp_S01	6	endothelial
C536_Carp_S01	0	myeloid
